Trip Start Timestamp,Pickup Community Area,Dropoff Community Area,Trip Total
4/7/2016 0:00,8,32,11.5
4/7/2016 0:00,32,4,27.25
4/7/2016 0:00,28,32,6.5
4/7/2016 0:00,28,22,14.5
4/7/2016 0:00,32,6,16.8
4/7/2016 0:00,32,77,21.75
4/7/2016 0:00,8,8,10.5
4/7/2016 0:00,8,32,8.1
4/7/2016 0:00,32,32,3.5
4/7/2016 0:00,8,6,14.75
4/7/2016 0:00,28,8,11.1
4/7/2016 0:00,8,8,10.75
4/7/2016 0:00,8,24,12
4/7/2016 0:00,28,32,12
4/7/2016 0:00,76,28,53.1
4/7/2016 0:00,8,76,56.4
4/7/2016 0:00,58,58,6.25
4/7/2016 0:00,28,28,113
4/7/2016 0:00,8,33,10.5
4/7/2016 0:00,14,16,4.75
4/7/2016 0:00,32,7,15
4/7/2016 0:00,28,28,9.25
4/7/2016 0:00,8,32,6.75
4/7/2016 0:00,28,3,31.25
4/7/2016 0:00,32,5,23.75
4/7/2016 0:00,56,56,7.75
4/7/2016 0:00,32,4,30
4/7/2016 0:00,8,32,7
4/7/2016 0:00,32,32,14
4/7/2016 0:00,6,6,7.75
4/7/2016 0:00,76,6,49.4
4/7/2016 0:00,32,24,10.5
4/7/2016 0:00,8,24,15
4/7/2016 0:00,28,32,12.5
4/7/2016 0:00,8,8,5.5
4/7/2016 0:00,8,8,12
4/7/2016 0:00,8,24,7.75
4/7/2016 0:00,8,8,8
4/7/2016 0:00,32,8,11.25
4/7/2016 0:00,14,12,5.75
4/7/2016 0:00,32,8,5.5
4/7/2016 0:00,28,28,10.25
4/7/2016 0:00,7,16,20.1
4/7/2016 0:00,32,8,7.5
4/7/2016 0:00,76,7,48
4/7/2016 0:00,32,8,8
4/7/2016 0:00,32,6,21.3
4/7/2016 0:00,35,8,19.05
4/7/2016 0:00,7,6,11.5
4/7/2016 0:00,32,6,24
4/7/2016 0:00,17,19,10.5
4/7/2016 0:00,32,24,13.5
4/7/2016 0:00,8,33,12.8
4/7/2016 0:00,32,77,30
4/7/2016 0:00,22,61,26.5
4/7/2016 0:15,24,24,5
4/7/2016 0:15,1,2,7.11
